iteration, loss
0,6.8348
1,7.04578
2,6.98984
3,7.09383
4,6.77533
5,6.66117
6,6.59911
7,6.66264
8,6.88265
9,6.69747
10,6.46065
11,6.56228
12,6.57561
13,6.60581
14,6.10573
15,6.66237
16,6.54208
17,6.27067
18,6.26277
19,6.30391
20,6.20958
21,6.16065
22,6.31416
23,5.84606
24,6.03091
25,6.2631
26,6.25923
27,6.16135
28,6.24837
29,6.33996
30,5.92365
31,6.35875
32,5.7673
33,6.18071
34,5.8829
35,6.05567
36,5.84746
37,6.10497
38,5.772
39,5.69726
40,7.62248
41,7.53747
42,7.63185
43,7.47028
44,7.67741
45,7.36498
46,6.91089
47,6.77522
48,6.63073
49,6.79919
50,6.81355
51,6.74892
52,6.55934
53,6.70375
54,6.76302
55,6.50011
56,6.49733
57,6.24097
58,6.52037
59,6.44603
60,7.20343
61,6.98486
62,7.09913
63,7.02935
64,6.78531
65,6.83244
66,7.12643
67,6.89945
68,6.79606
69,6.34445
70,6.94265
71,6.66514
72,6.84931
73,6.67451
74,6.80015
75,6.72601
76,6.26651
77,6.52332
78,6.60906
79,6.48243
80,7.15185
81,6.99165
82,6.76715
83,6.91651
84,6.87195
85,7.03549
86,6.62114
87,6.86747
88,6.92623
89,6.90285
90,6.64226
91,6.6114
92,6.73644
93,6.7495
94,6.7958
95,6.41537
96,6.75795
97,6.46702
98,6.4552
99,6.37003
100,6.80941
101,6.61318
102,6.6618
103,6.61558
104,6.4313
105,6.71827
106,6.69048
107,6.46479
108,6.51552
109,6.57831
110,6.62046
111,6.45125
112,6.64558
113,6.30228
114,6.27579
115,6.20808
116,6.09592
117,6.38409
118,6.30415
119,6.38194
120,7.14933
121,7.05448
122,7.11659
123,6.77112
124,7.24022
125,6.98024
126,7.26342
127,6.61859
128,6.87551
129,6.64061
130,6.80677
131,6.95883
132,6.91598
133,6.21805
134,6.85002
135,6.59766
136,6.81367
137,6.57885
138,6.21248
139,6.41554
140,6.884
141,6.7158
142,6.98601
143,7.04755
144,6.57685
145,6.83254
146,6.79406
147,6.73864
148,6.83525
149,6.6064
150,6.73568
151,6.88514
152,6.79598
153,6.7133
154,6.41651
155,6.65668
156,6.62499
157,6.4451
158,6.65174
159,6.52281
160,6.91846
161,6.85897
162,6.77207
163,7.04454
164,6.90722
165,7.00448
166,6.86292
167,6.93632
168,6.79488
169,6.86447
170,6.92277
171,6.63214
172,6.74703
173,6.82171
174,6.54749
175,6.76545
176,6.85615
177,6.67579
178,6.62776
179,6.36925
180,7.0175
181,6.93908
182,6.95503
183,6.86723
184,6.88005
185,6.87092
186,6.71075
187,6.73842
188,6.68474
189,6.66707
190,6.65473
191,6.64764
192,6.39763
193,6.59999
194,6.71983
195,6.51608
196,6.46728
197,6.55293
198,6.65152
199,6.58129
200,6.82299
201,6.76899
202,6.80808
203,6.83093
204,6.7987
205,6.8681
206,6.78944
207,6.53686
208,6.73678
209,6.65065
210,6.59323
211,6.65869
212,6.44927
213,6.43982
214,6.52101
215,6.39114
216,6.57275
217,6.31148
